latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
6.79887365,2.85576716,10.5532,0.6771,"POLYGON((2.85577428146035 6.79889360192322, 2.85575012612131 6.79888626767292, 2.85576002652859 6.79885368899082, 2.85578418186609 6.79886102324038, 2.85577428146035 6.79889360192322))",6FR4QVX4+G8RW
6.80488347,2.90637697,30.9617,0.8372,"POLYGON((2.90641377940013 6.80487382524986, 2.9063673065635 6.80492025935258, 2.90634016161837 6.80489311601917, 2.90638663445492 6.80484668191901, 2.90641377940013 6.80487382524986))",6FR4RW34+XH26
6.79806149,2.85463241,60.9314,0.8587,"POLYGON((2.85468278226348 6.79804959193585, 2.85466238565643 6.79810367206202, 2.85458203607101 6.79807339396775, 2.85460243268551 6.79801931384503, 2.85468278226348 6.79804959193585))",6FR4QVX3+6VCC
6.80084463,2.85322231,62.8275,0.8624,"POLYGON((2.85326556346284 6.80081684353202, 2.85323840911246 6.80089344579367, 2.85317905665579 6.80087242466284, 2.85320621101413 6.80079582240471, 2.85326556346284 6.80081684353202))",6FR4RV23+87QJ
6.80448443,2.90803144,110.7071,0.9025,"POLYGON((2.90809609988804 6.80446567572465, 2.90805651995797 6.8045468795878, 2.90796677692133 6.80450317651368, 2.90800635686286 6.80442197265794, 2.90809609988804 6.80446567572465))",6FR4RW35+Q6V6
6.79835558,2.85023316,144.6136,0.8611,"POLYGON((2.85022931942191 6.79843707875674, 2.85015926501801 6.79839023897048, 2.85023700091563 6.79827407641326, 2.85030705531074 6.7983209161882, 2.85022931942191 6.79843707875674))",6FR4QVX2+83X7
6.80074391,2.85154922,124.7508,0.8856,"POLYGON((2.85160779500221 6.80070328338499, 2.85158939113705 6.80080278677993, 2.85149064847482 6.80078453959506, 2.85150905235956 6.80068503620403, 2.85160779500221 6.80070328338499))",6FR4RV22+7JVP
6.80344243,2.90457852,245.0856,0.8232,"POLYGON((2.9046420139664 6.80335798405264, 2.90462562802051 6.80353698499235, 2.90451503204168 6.80352686987801, 2.9045314180281 6.80334786894241, 2.9046420139664 6.80335798405264))",6FR4RW33+9RGP
6.80252201,2.85212886,123.6388,0.8935,"POLYGON((2.85219567154606 6.80249746023452, 2.85214606720144 6.80259105645103, 2.85206204997313 6.80254656810585, 2.85211165432884 6.80245297189802, 2.85219567154606 6.80249746023452))",6FR4RV32+2V2R
6.79657623,2.84675452,13.0724,0.6625,"POLYGON((2.84677258835081 6.79656187222085, 2.84676878508513 6.79659436252706, 2.84673645651913 6.79659058143968, 2.84674025978679 6.79655809113374, 2.84677258835081 6.79656187222085))",6FR4QRWW+JPJ2
6.82254483,2.88642436,114.0056,0.7835,"POLYGON((2.88648158312044 6.82249837076108, 2.88643437880498 6.82261783896579, 2.88636713650784 6.82259129586547, 2.88641434083628 6.8224718276669, 2.88648158312044 6.82249837076108))",6FR4RVFP+2H7P
6.82260466,2.90125942,17.5886,0.7424,"POLYGON((2.90128229181457 6.82259025668508, 2.90127813937136 6.82262418917631, 2.90123654057979 6.82261910350385, 2.90124069302599 6.82258517101313, 2.90128229181457 6.82259025668508))",6FR4RWF2+2GR3
6.82814100,2.90207115,87.3887,0.8193,"POLYGON((2.90212131723766 6.82810397093621, 2.90208490739383 6.82820180574771, 2.90202099264888 6.82817804304053, 2.90205740250423 6.82808020823379, 2.90212131723766 6.82810397093621))",6FR4RWH2+7R4M
6.80275255,2.85874727,13.7703,0.6638,"POLYGON((2.85876825055235 6.80274080156048, 2.85875351726009 6.8027757715441, 2.85872627507515 6.80276430421386, 2.858741008369 6.80272933423107, 2.85876825055235 6.80274080156048))",6FR4RV35+4F55
6.79840148,2.85109913,10.5542,0.6951,"POLYGON((2.85111960393992 6.79839804611738, 2.85110407606307 6.79842163925536, 2.85107864585762 6.79840491679422, 2.85109417373507 6.79838132365678, 2.85111960393992 6.79839804611738))",6FR4QVX2+9C92
6.82748097,2.90255154,68.7685,0.8230,"POLYGON((2.9026088564293 6.82747631490777, 2.90258592759513 6.82752704323651, 2.90249422160741 6.82748563375518, 2.9025171504491 6.82743490543109, 2.9026088564293 6.82747631490777))",6FR4RWG3+X2V8
